set;instance;solution;time;cplexStatus;
2;1;46;33.7938;1;
2;2;13;4.35272;1;
2;3;9;2.89972;1;
2;4;44;378.011;1;
2;5;29;66.6449;1;
2;6;44;118.851;1;
2;7;18;3.32739;1;
2;8;16;9.12024;1;
2;9;12;15.7759;1;
2;10;38;22.0476;1;
3;1;31;13187.2;102;
3;2;52;307075;11;
3;3;30;14251.9;102;
3;4;60;319609;11;
3;5;8;16.8221;1
3;6;46;20803.2;102;
3;7;16;20.0415;1;
3;8;24;2026.81;102;
3;9;20;1345.4;102;
3;10;70;42236.8;102;
4;1;25;319029;11;
4;2;31;307562;11;
4;3;26;317756;11;
4;4;41;343048;11;
4;5;13;291614;11;
4;6;16;25233;1;
4;7;21;363933;11;
4;8;20;312808;11;
4;9;17;12318.9;1;
4;10;24;163034;102;
5;1;22;355358;11;
5;2;22;355771;11;
5;3;42;369299;11;
5;4;46;330879;11;
5;5;18;337577;11;
5;6;17;357903;11;
5;7;22;337127;11;
5;8;24;342088;11;
5;9;39;355522;11;
5;10;22;354293;11;
6;1;23;281522;11;
6;2;15;369325;11;
6;3;23;383793;11;
6;4;29;368645;11;
6;5;11;363070;11;
6;6;26;324778;11;
6;7;17;365411;11;
6;8;22;364655;11;
6;9;30;340530;11;
6;10;24;362160;11;
7;1;15;334520;11;
7;2;23;293800;11;
7;3;28;327284;11;
7;4;23;277631;11;
7;5;28;355018;11;
7;6;27;356686;11;
7;7;20;307228;11;
7;8;30;291005;11;
7;9;15;301224;11;
7;10;23;294647;11;
8;1;26;313780;11;
8;2;24;292608;11;
8;3;17;353045;11;
8;4;22;273447;11;
8;5;31;325131;11;
8;6;27;305419;11;
8;7;21;322451;11;
8;8;26;335642;11;
8;9;-------------
8;10;22;296544;11;
9;1;31;320551;11;
9;2;17;334368;11;
9;3;24;282485;11;
9;4;26;311100;11;
9;5;41;312312;11;
9;6;33;314878;11;
9;7;28;289609;11;
9;8;20;302947;11;
9;9;26;305866;11;
9;10;21;299919;11;
10;1;22;309201;11;
10;2;32;296460;11;
10;3;38;307232;11;
10;4;24;294339;11;
10;5;20;303854;11;
10;6;46;312135;11;
10;7;27;327842;11;
10;8;19;306214;11;
10;9;32;311865;11;
10;10;32;281986;11;